City,Lat,Lng,Max Temp,Humidity,Cloudiness,Date,Wind Speed,Country
lagoa,39.05,-27.9833,60.82,88,100,1621129636,5.23,PT
cape town,-33.9258,18.4232,54.0,87,0,1621129435,8.05,ZA
faanui,-16.4833,-151.75,81.68,69,100,1621129636,15.52,PF
carnarvon,-24.8667,113.6333,71.6,53,69,1621129637,11.5,AU
progreso,21.2833,-89.6667,82.4,69,90,1621129637,12.66,MX
kibala,9.1104,18.3463,77.0,78,0,1621129637,3.44,TD
pacific grove,36.6177,-121.9166,55.0,90,79,1621129463,7.85,US
thap khlo,16.16,100.5966,91.99,69,57,1621129394,6.24,TH
hermanus,-34.4187,19.2345,54.0,83,100,1621129386,3.0,ZA
bredasdorp,-34.5322,20.0403,51.8,87,96,1621129638,6.91,ZA
cherskiy,68.75,161.3,37.26,82,31,1621129638,8.1,RU
tiksi,71.6872,128.8694,31.71,92,100,1621129638,6.78,RU
beachwood,41.4645,-81.5087,59.0,38,40,1621129639,4.61,US
garowe,8.4054,48.4845,79.84,62,2,1621129639,16.67,SO
bethel,41.3712,-73.414,66.2,32,1,1621129639,10.36,US
labytnangi,66.6572,66.4183,31.26,65,98,1621129639,8.81,RU
cajati,-24.7361,-48.1228,62.65,98,83,1621129577,1.66,BR
yambio,4.5721,28.3955,66.9,97,37,1621129640,3.36,SS
danilov,58.1908,40.1717,52.07,95,3,1621129640,6.35,RU
aykhal,66.0,111.5,19.4,91,100,1621129640,21.5,RU
guardiagrele,42.1954,14.2198,66.2,42,20,1621129640,10.36,IT
margate,51.3813,1.3862,48.99,84,82,1621129519,1.99,GB
saint george,37.1041,-113.5841,87.8,8,1,1621129519,28.77,US
nioro,13.35,-15.75,77.31,53,48,1621129641,7.45,GM
lypova dolyna,50.5643,33.7979,52.52,90,14,1621129641,4.97,UA
castro,-24.7911,-50.0119,50.63,93,0,1621129641,3.4,BR
tasiilaq,65.6145,-37.6368,28.4,69,17,1621129642,3.18,GL
toguchin,55.2353,84.3858,64.36,66,77,1621129642,6.73,RU
ketchikan,55.3422,-131.6461,51.8,82,90,1621129702,8.05,US
estevan,49.1334,-102.9842,73.4,18,1,1621129703,6.91,CA
mayumba,-3.432,10.6554,78.6,87,85,1621129703,6.17,GA
madimba,-10.4,40.3333,72.72,93,20,1621129703,8.55,TZ
kachiry,53.0675,76.1036,69.35,51,100,1621129703,10.49,KZ
esperance,-33.8667,121.9,57.2,72,22,1621129533,14.97,AU
kapaa,22.0752,-159.319,80.6,54,1,1621129532,18.41,US
ostrovnoy,68.0531,39.5131,32.4,96,100,1621129704,11.48,RU
puerto ayora,-0.7393,-90.3518,75.0,91,16,1621129256,1.99,EC
codrington,-38.2667,141.9667,56.35,73,92,1621129704,18.48,AU
burnie,-41.0667,145.9167,59.0,68,70,1621129704,8.99,AU
lavrentiya,65.5833,-171.0,33.66,91,18,1621129705,4.25,RU
urucui,-7.2294,-44.5561,77.31,61,100,1621129705,1.97,BR
huarmey,-10.0681,-78.1522,65.75,83,5,1621129705,8.59,PE
brae,60.3964,-1.353,46.4,93,90,1621129705,4.61,GB
horni plana,48.7674,14.0326,48.99,97,100,1621129706,1.01,CZ
cockburn town,21.4612,-71.1419,79.57,79,0,1621129454,13.96,TC
vallenar,-28.5708,-70.7581,65.88,62,100,1621129706,0.89,CL
chifeng,42.2683,118.9636,66.72,18,100,1621129706,13.42,CN
plock,52.5468,19.7064,51.8,100,0,1621129707,2.3,PL
isangel,-19.55,169.2667,81.54,72,11,1621129707,6.53,VU
arrifes,37.7667,-25.7,64.4,94,75,1621129707,8.05,PT
pangody,65.85,74.4859,33.62,58,100,1621129707,8.79,RU
kijang,35.2442,129.2139,75.2,83,90,1621129708,5.75,KR
dingle,10.9995,122.6711,87.12,67,99,1621129708,13.31,PH
forestville,38.8451,-76.875,59.0,51,75,1621129708,5.64,US
xichang,27.8964,102.2634,71.78,54,72,1621129708,2.06,CN
lebu,-37.6167,-73.65,51.35,87,0,1621129709,8.32,CL
vanimo,-2.6741,141.3028,86.56,67,95,1621129709,6.38,PG
doka,13.5167,35.7667,83.41,48,98,1621129709,9.75,SD
sawakin,19.1059,37.3321,80.71,41,0,1621129709,2.24,SD
atambua,-9.1061,124.8925,81.23,57,39,1621129710,3.65,ID
haines junction,60.7522,-137.5108,55.4,26,17,1621129710,10.36,CA
banihal,33.4167,75.2,60.33,67,99,1621129710,4.56,IN
meulaboh,4.1363,96.1285,80.17,80,100,1621129711,3.09,ID
caravelas,-17.7125,-39.2481,71.17,71,93,1621129711,5.84,BR
abu samrah,35.3029,37.1841,62.91,51,78,1621129711,6.06,SY
saskylakh,71.9167,114.0833,15.35,90,100,1621129711,14.7,RU
sawtell,-30.3833,153.1,66.2,48,8,1621129712,16.11,AU
hasaki,35.7333,140.8333,75.0,73,75,1621129712,13.8,JP
saint-philippe,-21.3585,55.7679,75.2,73,75,1621129712,14.97,RE
geraldton,-28.7667,114.6,73.4,35,6,1621129712,23.02,AU
hobart,-42.8794,147.3294,57.2,54,40,1621129654,18.41,AU
gunjur,13.2019,-16.7339,73.4,88,18,1621129713,5.75,GM
zhigansk,66.7697,123.3711,52.48,40,100,1621129713,21.72,RU
muros,42.7762,-9.0603,61.0,95,100,1621129713,1.01,ES
ahuimanu,21.4447,-157.8378,80.6,61,40,1621129713,16.11,US
belmonte,-15.8631,-38.8828,69.8,83,40,1621129714,5.75,BR
dikson,73.5069,80.5464,24.6,74,100,1621129714,15.7,RU
mount gambier,-37.8333,140.7667,53.6,94,90,1621129714,14.97,AU
santa isabel do rio negro,-0.4139,-65.0192,73.58,93,52,1621129715,2.71,BR
yerky,48.9906,30.9882,51.66,85,8,1621129715,1.66,UA
norman wells,65.282,-126.8329,50.0,50,20,1621129715,17.27,CA
pisco,-13.7,-76.2167,64.4,88,90,1621129715,5.75,PE
mandalgovi,45.7625,106.2708,58.84,22,4,1621129531,12.53,MN
inuvik,68.3499,-133.7218,50.0,46,100,1621129776,5.75,CA
saint-augustin,51.226,-58.6502,39.96,82,100,1621129776,10.98,CA
mackay,-21.15,149.2,73.0,40,0,1621129776,16.11,AU
san patricio,28.017,-97.5169,77.0,94,90,1621129776,14.97,US
rocha,-34.4833,-54.3333,49.15,74,91,1621129777,3.98,UY
eureka,40.8021,-124.1637,57.0,74,6,1621129502,4.0,US
hurghada,27.2574,33.8129,78.8,22,0,1621129777,11.5,EG
samfya,-11.3649,29.5565,58.17,80,9,1621129777,4.25,ZM
sao joao da barra,-21.6403,-41.0511,67.86,79,2,1621129778,1.57,BR
tuatapere,-46.1333,167.6833,53.01,70,45,1621129778,5.01,NZ
radhanpur,23.8333,71.6,91.56,30,100,1621129778,11.88,IN
ahipara,-35.1667,173.1667,67.15,68,2,1621129779,10.65,NZ
santa marta,11.2408,-74.199,87.8,62,20,1621129666,11.5,CO
olafsvik,64.8945,-23.7142,36.77,69,16,1621129779,21.94,IS
talcahuano,-36.7167,-73.1167,50.0,93,0,1621129779,3.44,CL
rock sound,24.9,-76.2,78.06,71,99,1621129779,20.24,BS
wuxi,31.5689,120.2886,80.01,86,100,1621129780,3.0,CN
kodiak,57.79,-152.4072,46.4,76,90,1621129532,8.05,US
katsuura,35.1333,140.3,73.0,64,100,1621129780,4.0,JP
tual,-5.6667,132.75,83.08,78,63,1621129780,23.91,ID
whitehorse,60.7161,-135.0538,55.4,33,75,1621129642,16.11,CA
longhua,23.6137,114.1919,89.76,56,50,1621129781,7.34,CN
thompson,55.7435,-97.8558,46.4,53,75,1621129781,5.75,CA
mahajanga,-15.7167,46.3167,69.8,83,20,1621129781,4.61,MG
bac lieu,9.285,105.7244,88.27,63,14,1621129781,8.39,VN
masindi,1.6744,31.715,62.29,97,94,1621129782,3.15,UG
kiama,-34.6833,150.8667,63.0,47,0,1621129782,7.0,AU
georgetown,5.4112,100.3354,87.01,84,20,1621129782,1.14,MY
santa fe,-31.6333,-60.7,60.01,73,46,1621129600,4.81,AR
atuona,-9.8,-139.0333,79.57,67,7,1621129782,15.84,PF
oga,46.4631,10.347,48.99,100,75,1621129783,1.14,IT
saravan,39.7196,45.6483,64.4,34,17,1621129783,9.22,AM
ribeira grande,38.5167,-28.7,63.41,95,100,1621129783,0.65,PT
reyes,-14.3167,-67.3833,71.37,88,100,1621129783,1.95,BO
moree,-29.4667,149.85,57.2,35,0,1621129784,6.91,AU
viedma,-40.8135,-62.9967,51.69,83,100,1621129784,5.1,AR
yar-sale,66.8333,70.8333,24.48,85,100,1621129784,7.81,RU
hualmay,-11.0964,-77.6139,64.4,85,3,1621129784,7.34,PE
vienne,48.2085,16.3721,55.0,94,20,1621129566,6.91,AT
boundiali,9.5217,-6.4869,80.19,62,99,1621129785,6.26,CI
spearfish,44.4908,-103.8594,57.0,87,90,1621129746,3.44,US
kavieng,-2.5744,150.7967,85.55,74,95,1621129785,16.46,PG
avarua,-21.2078,-159.775,78.8,78,75,1621129708,10.36,CK
lasa,46.6166,10.7002,43.0,100,75,1621129786,3.44,IT
lompoc,34.6391,-120.4579,57.2,67,66,1621129786,12.66,US
veraval,20.9,70.3667,87.55,56,100,1621129786,11.65,IN
souillac,-20.5167,57.5167,73.4,78,20,1621129786,10.36,MU
mundo nuevo,18.7,-95.5,80.85,78,17,1621129787,12.75,MX
te anau,-45.4167,167.7167,51.33,57,7,1621129787,5.91,NZ
gamba,-2.65,10.0,77.68,90,97,1621129787,6.04,GA
hithadhoo,-0.6,73.0833,84.56,73,100,1621129787,18.19,MV
nikolskoye,59.7035,30.7861,55.99,88,75,1621129788,6.71,RU
dolores hidalgo,21.1561,-100.9308,75.0,55,50,1621129788,5.01,MX
dubbo,-32.25,148.6167,55.4,44,0,1621129788,6.91,AU
luoyang,34.6836,112.4536,57.27,84,100,1621129848,4.05,CN
tevaitoa,-16.7833,-151.5,81.64,70,100,1621129849,14.5,PF
komsomolskiy,40.4272,71.7189,64.4,45,0,1621129849,4.61,UZ
fortuna,40.5982,-124.1573,57.0,93,75,1621129710,12.66,US
nanortalik,60.1432,-45.2371,36.14,83,11,1621129849,2.01,GL
richards bay,-28.783,32.0377,66.02,36,0,1621129850,5.23,ZA
ha tinh,18.3333,105.9,92.21,54,68,1621129850,1.21,VN
mombetsu,44.3525,143.3525,55.4,82,75,1621129753,3.44,JP
constitucion,-35.3333,-72.4167,53.89,84,5,1621129850,7.76,CL
longyearbyen,78.2186,15.6401,21.2,68,40,1621129850,8.05,SJ
kurtalan,37.9272,41.7028,51.8,76,0,1621129851,4.61,TR
palmer,42.1584,-72.3287,59.0,51,20,1621129851,3.38,US
copiapo,-27.3667,-70.3333,55.4,88,100,1621129851,6.91,CL
leningradskiy,69.3833,178.4167,31.19,94,97,1621129851,6.6,RU
lunenburg,44.3835,-64.3155,50.0,66,31,1621129852,6.91,CA
emet,39.343,29.2585,54.19,69,99,1621129852,2.1,TR
port hardy,50.6996,-127.4199,55.4,76,75,1621129852,12.66,CA
new norfolk,-42.7826,147.0587,57.0,77,98,1621129852,7.0,AU
mitu,1.1983,-70.1733,72.18,98,100,1621129853,1.7,CO
chapada dos guimaraes,-15.4606,-55.7497,78.8,61,0,1621129853,3.49,BR
aban,56.67,96.06,43.18,66,100,1621129853,4.74,RU
manyana,-23.4,21.7167,58.3,35,0,1621129854,7.78,BW
hargeysa,9.56,44.065,69.93,75,49,1621129854,17.2,SO
marsh harbour,26.5412,-77.0636,76.32,64,95,1621129854,16.08,BS
novyy starodub,48.5158,33.1733,51.8,76,0,1621129854,0.4,UA
vao,-22.6667,167.4833,75.79,80,51,1621129855,16.55,NC
mahibadhoo,3.7833,72.9667,85.24,74,100,1621129855,18.95,MV
hamilton,39.1834,-84.5333,64.4,59,20,1621129599,3.4,US
akyab,20.15,92.9,84.92,72,28,1621129855,5.08,MM
ponta do sol,32.6667,-17.1,66.2,68,20,1621129856,20.71,PT
latung,5.5,120.8833,84.04,74,100,1621129856,2.84,PH
husavik,66.0449,-17.3389,35.6,60,90,1621129856,9.22,IS
antsohihy,-14.8796,47.9875,70.18,74,0,1621129856,5.99,MG
lorengau,-2.0226,147.2712,86.79,69,100,1621129534,12.44,PG
mauguio,43.6181,4.0074,60.01,94,100,1621129857,3.44,FR
bambous virieux,-20.3428,57.7575,75.99,78,20,1621129857,10.36,MU
micheweni,-4.9667,39.8333,77.2,85,80,1621129857,11.3,TZ
yerbogachen,61.2767,108.0108,30.7,59,100,1621129857,17.63,RU
doha,25.2867,51.5333,89.6,37,0,1621129858,2.3,QA
hirtshals,57.5881,9.9592,46.4,87,75,1621129858,2.3,DK
severo-kurilsk,50.6789,156.125,42.33,67,100,1621129858,14.65,RU
luanda,-8.8368,13.2343,75.06,89,9,1621129761,8.86,AO
ambilobe,-13.2,49.05,69.13,80,0,1621129859,4.34,MG
buchanan,5.8808,-10.0467,79.47,85,100,1621129859,4.7,LR
tanout,14.9709,8.8879,85.41,14,8,1621129859,8.14,NE
huambo,-12.7761,15.7392,54.1,70,28,1621129859,1.86,AO
college,64.8569,-147.8028,62.6,36,75,1621129860,12.66,US
byron bay,-28.65,153.6167,64.4,48,62,1621129860,13.8,AU
mecca,21.4267,39.8261,77.7,38,0,1621129860,2.44,SA
minggang,32.4586,114.0486,55.24,81,100,1621129860,15.12,CN
touros,-5.1989,-35.4608,75.2,88,20,1621129861,3.44,BR
clyde river,70.4692,-68.5914,15.8,67,1,1621129861,11.5,CA
vetapalem,15.7833,80.3167,86.65,72,100,1621129705,17.58,IN
upernavik,72.7868,-56.1549,28.96,89,100,1621129861,6.89,GL
khulna,22.8135,89.5672,87.35,71,19,1621129793,9.51,BD
comodoro rivadavia,-45.8667,-67.5,51.8,62,0,1621129786,11.5,AR
airai,-8.9266,125.4092,70.61,53,81,1621129862,4.38,TL
faya,18.3851,42.4509,68.0,18,0,1621129862,3.89,SA
havelian,34.0536,73.1657,72.14,48,97,1621129922,6.26,PK
vostok,46.4856,135.8833,60.85,41,7,1621129923,11.88,RU
baturaja,-4.1333,104.1667,83.71,73,22,1621129923,3.36,ID
japura,-0.3167,102.35,84.43,70,78,1621129923,3.83,ID
coahuayana,18.7333,-103.6833,80.71,75,1,1621129923,2.93,MX
mayo,38.8876,-76.5119,68.0,37,1,1621129924,9.22,US
rawson,-43.3002,-65.1023,53.85,51,89,1621129924,7.72,AR
vila franca do campo,37.7167,-25.4333,64.4,94,75,1621129924,8.05,PT
bengkulu,-3.8004,102.2655,82.11,75,55,1621129924,1.59,ID
linfen,36.0889,111.5189,56.41,80,100,1621129925,2.84,CN
kropotkin,45.4375,40.5756,62.01,83,5,1621129925,3.8,RU
marienburg,54.0359,19.0266,54.0,100,100,1621129925,5.41,PL
along,28.1667,94.7667,70.95,72,98,1621129925,0.4,IN
dali,25.7,100.1833,68.92,46,2,1621129926,4.56,CN
jacobabad,28.281,68.4388,88.84,33,0,1621129926,9.28,PK
jalu,29.0331,21.5482,69.91,40,0,1621129926,11.77,LY
makakilo city,21.3469,-158.0858,84.2,45,20,1621129927,10.36,US
igrim,63.1906,64.4162,46.24,69,28,1621129927,7.45,RU
songea,-10.6833,35.65,55.89,90,74,1621129927,1.25,TZ
provideniya,64.3833,-173.3,43.74,56,10,1621129927,2.93,RU
karatuzskoye,53.6072,92.8667,51.87,95,100,1621129928,5.03,RU
boyolangu,-8.1181,111.8935,81.3,75,69,1621129928,9.46,ID
namwala,-15.7504,26.4384,55.81,76,7,1621129928,1.83,ZM
pueblo nuevo,23.3833,-105.3833,61.52,61,88,1621129928,3.78,MX
katobu,-4.9408,122.5276,83.71,69,86,1621129929,4.43,ID
brawley,32.9787,-115.5303,89.6,17,1,1621129929,19.57,US
namibe,-15.1961,12.1522,73.09,61,0,1621129929,4.76,AO
tampilisan,8.0167,122.6833,87.31,67,74,1621129929,2.46,PH
bontang,0.1333,117.5,81.75,83,100,1621129690,2.77,ID
piney green,34.716,-77.3202,63.0,59,1,1621129930,4.61,US
petropavlovsk-kamchatskiy,53.0452,158.6483,57.2,26,100,1621129651,13.42,RU
tromso,69.6496,18.957,39.99,75,75,1621129930,8.05,NO
tura,25.5198,90.2201,78.84,75,88,1621129930,4.79,IN
korla,41.7597,86.1469,65.16,31,100,1621129930,9.93,CN
pevek,69.7008,170.3133,30.22,91,75,1621129931,0.65,RU
ust-nera,64.5667,143.2,45.91,64,99,1621129931,2.46,RU
katherine,-14.4667,132.2667,77.0,27,3,1621129931,12.66,AU
kongolo,-5.3833,27.0,71.42,80,50,1621129931,2.64,CD
sitka,57.0531,-135.33,46.4,71,90,1621129932,12.66,US
jinxiang,27.4327,120.6062,80.98,74,99,1621129932,15.61,CN
sibolga,1.7427,98.7792,82.8,76,100,1621129635,0.81,ID
srednekolymsk,67.45,153.6833,38.98,73,4,1621129534,9.26,RU
ulaanbaatar,47.9077,106.8832,51.8,35,0,1621129932,2.24,MN
boden,65.8252,21.6886,44.6,93,90,1621129933,5.75,SE
labuhan,-6.8844,112.2051,83.39,72,2,1621129933,5.01,ID
sioux lookout,50.1001,-91.917,60.8,51,75,1621129933,3.44,CA
bokajan,26.0167,93.7833,77.11,79,98,1621129933,2.77,IN
gorlice,49.6556,21.1604,50.0,90,100,1621129934,6.35,PL
sechura,-5.5569,-80.8222,69.57,73,89,1621129934,16.62,PE
diego de almagro,-26.3667,-70.05,63.23,52,74,1621129934,2.15,CL
balboa,2.0396,-77.2168,62.38,95,96,1621129934,2.33,CO
san juan,-31.5375,-68.5364,34.0,35,66,1621129649,34.0,AR
chokurdakh,70.6333,147.9167,32.74,98,100,1621129935,6.85,RU
urumqi,43.801,87.6005,62.6,48,0,1621129935,4.47,CN
necochea,-38.5473,-58.7368,55.24,69,100,1621129935,7.94,AR
baruun-urt,46.6806,113.2792,60.1,18,2,1621129935,2.95,MN
hambantota,6.1241,81.1185,77.0,100,75,1621129936,3.44,LK
kaitangata,-46.2817,169.8464,57.0,52,1,1621129936,5.59,NZ
bridlington,54.0831,-0.1919,46.99,86,100,1621129936,5.99,GB
manthani,18.65,79.6667,87.4,62,99,1621129996,13.8,IN
judenburg,47.1667,14.6667,54.0,70,100,1621129997,5.99,AT
aquiraz,-3.9014,-38.3911,79.0,94,75,1621129997,4.61,BR
phalodi,27.1333,72.3667,91.38,27,75,1621129997,15.5,IN
cap malheureux,-19.9842,57.6142,75.99,68,1,1621129998,5.99,MU
buje,45.41,13.6619,59.0,88,90,1621129998,4.61,HR
bumba,2.1833,22.4667,69.12,96,97,1621129998,1.43,CD
marsabit,2.3284,37.9899,62.42,76,17,1621129998,12.59,KE
weihe,32.9952,105.3247,62.15,38,100,1621129999,9.4,CN
tabou,4.423,-7.3528,79.09,84,100,1621129999,4.79,CI
manaure,11.7751,-72.4445,81.28,73,77,1621129999,16.64,CO
poum,-20.2333,164.0167,78.51,75,97,1621129999,14.34,NC
bloemfontein,-29.1211,26.214,39.2,81,1,1621129979,3.44,ZA
cidreira,-30.1811,-50.2056,61.25,78,5,1621130000,7.02,BR
porto novo,6.4965,2.6036,79.99,84,92,1621129876,4.38,BJ
usinsk,65.9939,57.5281,39.7,71,59,1621130000,9.37,RU
iralaya,15.0,-83.2333,79.61,81,100,1621130000,8.21,HN
alghero,40.5589,8.3181,60.8,77,0,1621129762,5.75,IT
tezu,27.9167,96.1667,81.84,44,26,1621130001,3.11,IN
fomboni,-12.28,43.7425,80.92,71,91,1621130001,3.04,KM
asprovalta,40.7167,23.7,55.0,86,54,1621130001,3.0,GR
purpe,64.4803,76.6897,34.0,66,100,1621130001,11.83,RU
beloha,-25.1667,45.05,68.04,72,45,1621130002,3.29,MG
kabare,-2.4683,28.8242,60.04,97,40,1621130002,0.85,CD
coquimbo,-29.9533,-71.3436,55.4,88,0,1621129797,2.3,CL
khasan,42.4308,130.6434,57.65,67,100,1621130002,7.52,RU
bereslavka,48.6254,44.0449,60.8,55,0,1621130003,13.42,RU
denpasar,-8.65,115.2167,84.2,79,40,1621129987,14.97,ID
nakamura,32.9833,132.9333,71.78,93,99,1621130003,2.28,JP
abejorral,5.7893,-75.4273,62.6,94,75,1621130003,2.3,CO
castrillon,43.3979,-6.7922,59.0,100,90,1621130003,5.75,ES
nuuk,64.1835,-51.7216,39.0,87,90,1621130004,8.05,GL
chunskiy,56.0815,99.6342,45.09,64,83,1621130004,6.06,RU
maniitsoq,65.4167,-52.9,35.2,87,97,1621130004,6.62,GL
dong hoi,17.4833,106.6,89.87,61,88,1621129859,4.25,VN
sao filipe,14.8961,-24.4956,73.98,68,66,1621130005,11.41,CV
atar,20.5169,-13.0499,78.87,23,54,1621130005,6.02,MR
nikolayevskaya,47.6139,41.5023,63.72,86,8,1621130005,0.22,RU
fukue,32.6881,128.8419,73.4,100,75,1621130005,17.27,JP
fort nelson,58.8053,-122.7002,59.0,44,75,1621130006,4.61,CA
aklavik,68.2191,-135.0107,50.0,46,100,1621130006,5.75,CA
maragogi,-9.0122,-35.2225,76.14,77,4,1621130006,7.83,BR
taree,-31.9,152.4667,62.01,48,2,1621130006,11.5,AU
torbay,47.6666,-52.7314,39.99,100,75,1621129533,5.73,CA
wuwei,37.9281,102.6414,60.39,28,68,1621130007,5.66,CN
alofi,-19.0595,-169.9187,82.4,74,4,1621130007,12.66,NU
talhar,24.8833,68.8167,87.31,51,65,1621130007,3.49,PK
omboue,-1.5746,9.2618,77.83,89,85,1621130008,6.02,GA
gazanjyk,39.2446,55.5154,74.82,14,0,1621130008,8.95,TM
kem,64.9555,34.5793,37.24,94,99,1621130008,12.1,RU
jiangkou,25.4872,119.1986,86.0,70,0,1621130008,13.42,CN
ballina,-28.8667,153.5667,64.4,48,77,1621130009,13.8,AU
camacha,33.0833,-16.3333,66.2,77,75,1621130009,13.8,PT
safaga,26.7292,33.9365,78.8,22,0,1621130009,11.5,EG
tessalit,20.1986,1.0114,90.34,12,56,1621130010,4.05,ML
pitea,65.3172,21.4794,44.6,93,90,1621130010,5.75,SE
villa carlos paz,-31.4241,-64.4978,62.01,79,100,1621130010,1.99,AR
kloulklubed,7.0419,134.2556,82.4,89,90,1621130070,12.66,PW
ust-kuyga,70.0167,135.6,43.03,58,32,1621130071,5.35,RU
