City,Lat,Lng,Max Temp,Humidity,Cloudiness,Date,Wind Speed,Country
jasper,37.2001,-94.3502,64.4,82,90,1621129558,5.75,US
murgab,37.4966,61.9714,64.4,45,0,1621129558,4.61,TM
ushuaia,-54.8,-68.3,42.8,70,20,1621129559,7.0,AR
mahebourg,-20.4081,57.7,73.4,78,20,1621129559,10.36,MU
bluff,-46.6,168.3333,53.01,70,51,1621129559,5.01,NZ
khatanga,71.9667,102.5,19.22,88,99,1621129560,10.56,RU
shenjiamen,29.9576,122.298,71.13,94,94,1621129560,11.36,CN
san cristobal,7.7669,-72.225,67.69,87,98,1621129560,2.77,VE
dawlatabad,36.4141,64.9053,72.57,16,0,1621129560,5.1,AF
albany,42.6001,-73.9662,57.99,67,100,1621129247,4.85,US
rikitea,-23.1203,-134.9692,74.55,67,100,1621129251,17.92,PF
saint-pierre,-21.3393,55.4781,75.2,73,75,1621129561,14.97,RE
farafangana,-22.8167,47.8333,69.37,91,9,1621129561,6.82,MG
east london,-33.0153,27.9116,64.87,78,98,1621129561,18.37,ZA
pochutla,15.7432,-96.4661,84.99,77,65,1621129562,5.01,MX
chuy,-33.6971,-53.4616,52.02,81,100,1621129562,3.74,UY
victoria,22.2855,114.1577,88.0,78,17,1621129474,1.01,HK
eina,60.6295,10.5993,46.99,98,100,1621129562,1.95,NO
morden,49.1919,-98.1014,66.2,42,98,1621129562,1.14,CA
hilo,19.7297,-155.09,87.8,45,20,1621129166,9.22,US
ilulissat,69.2167,-51.1,35.6,64,75,1621129272,3.44,GL
labrea,-7.2586,-64.7981,75.02,89,99,1621129563,0.78,BR
valls,41.2861,1.2499,66.99,94,0,1621129563,3.44,ES
saint-francois,46.4154,3.9054,48.2,87,0,1621129563,4.61,FR
qaanaaq,77.484,-69.3632,32.4,76,99,1621129564,6.82,GL
vaini,-21.2,-175.2,82.4,83,75,1621129564,10.36,TO
mount isa,-20.7333,139.5,69.8,23,0,1621129290,17.27,AU
northam,51.0333,-4.2167,48.99,94,100,1621129564,7.0,GB
narsaq,60.9167,-46.05,41.0,38,10,1621129565,4.61,GL
ancud,-41.8697,-73.8203,48.0,100,75,1621129565,3.44,CL
iqaluit,63.7506,-68.5145,24.8,74,90,1621129565,5.75,CA
tuktoyaktuk,69.4541,-133.0374,35.6,80,20,1621129565,11.5,CA
asau,46.4333,26.4,48.99,66,99,1621129566,2.06,RO
bosobolo,4.1833,19.9,70.34,95,100,1621129566,0.36,CD
mar del plata,-38.0023,-57.5575,57.99,87,0,1621129566,4.61,AR
nome,64.5011,-165.4064,52.0,50,1,1621129566,9.22,US
xining,36.6167,101.7667,48.27,59,97,1621129281,1.95,CN
beringovskiy,63.05,179.3167,32.4,95,100,1621129567,8.41,RU
busselton,-33.65,115.3333,64.0,67,100,1621129232,7.0,AU
bathsheba,13.2167,-59.5167,80.6,61,20,1621129567,24.16,BB
silifke,36.3778,33.9344,65.84,82,14,1621129567,8.03,TR
puri,19.8,85.85,86.0,94,40,1621129568,8.05,IN
herat,34.5,62.0,64.18,18,0,1621129568,13.78,AF
biskamzha,53.4497,89.5272,54.55,77,100,1621129568,6.15,RU
punta arenas,-53.15,-70.9167,44.6,100,90,1621129569,11.5,CL
mehamn,71.0357,27.8492,34.56,84,100,1621129569,20.22,NO
thinadhoo,0.5333,72.9333,84.81,73,100,1621129569,18.41,MV
portland,45.5234,-122.6762,79.0,34,20,1621129324,11.5,US
port alfred,-33.5906,26.891,62.87,82,95,1621129569,16.49,ZA
weinan,34.5036,109.5089,60.8,59,40,1621129570,11.18,CN
klyuchi,52.2667,79.1667,69.55,40,74,1621129570,10.0,RU
huntsville,34.7304,-86.5861,66.99,63,1,1621129511,3.44,US
roebourne,-20.7833,117.1333,77.22,29,0,1621129570,18.75,AU
kruisfontein,-34.0033,24.7314,57.99,94,100,1621129630,4.0,ZA
mataura,-46.1927,168.8643,53.01,70,6,1621129533,5.01,NZ
arraial do cabo,-22.9661,-42.0278,69.62,78,3,1621129631,8.61,BR
kavaratti,10.5669,72.642,83.37,81,100,1621129631,25.23,IN
lazaro cardenas,17.9583,-102.2,82.2,74,0,1621129631,7.38,MX
ondjiva,-17.0667,15.7333,59.5,43,1,1621129632,6.62,AO
rio grande,-32.035,-52.0986,56.73,76,65,1621129337,4.27,BR
lusambo,-4.9667,23.45,72.84,76,61,1621129632,0.74,CD
yellowknife,62.456,-114.3525,39.2,65,75,1621129632,12.66,CA
guerrero negro,27.9769,-114.0611,60.62,74,0,1621129348,18.41,MX
brigantine,39.4101,-74.3646,59.0,38,1,1621129633,3.44,US
jamestown,42.097,-79.2353,57.2,33,1,1621129526,5.75,US
panzhihua,26.5851,101.7128,81.55,35,0,1621129633,0.07,CN
moranbah,-22.0016,148.0466,69.66,27,0,1621129633,16.33,AU
naze,28.3667,129.4833,82.4,83,75,1621129633,17.27,JP
kamenka,51.3223,42.7678,60.4,89,11,1621129634,5.1,RU
barrow,71.2906,-156.7887,28.4,80,90,1621129634,11.5,US
kirakira,-10.4544,161.9205,86.29,68,8,1621129634,6.58,SB
antofagasta,-23.65,-70.4,60.8,77,90,1621129620,11.5,CL
hofn,64.2539,-15.2082,37.27,64,99,1621129635,17.54,IS
troitsko-pechorsk,62.7084,56.1964,58.05,70,96,1621129635,1.92,RU
butaritari,3.0707,172.7902,82.83,79,40,1621129635,15.23,KI
aljezur,37.3191,-8.8033,59.81,94,12,1621129635,7.29,PT
talnakh,69.4865,88.3972,18.27,91,99,1621129636,4.47,RU
port elizabeth,-33.918,25.5701,59.0,94,90,1621129409,10.36,ZA
dakar,14.6937,-17.4441,69.8,88,97,1621129491,13.8,SN
